,genre,count
0,'alternative hip hop',30
1,'east coast hip hop',28
2,'hip hop',28
3,'rap',28
4,,6
5,'greek hip hop',1
6,'alternative rock',10
7,'art rock',3
8,'indie rock',40
9,'modern rock',21
10,'noise pop',3
11,'okc indie',3
12,'rock',16
13,'new romantic',1
14,'new wave',3
15,'new wave pop',1
16,'post-punk',1
17,'synthpop',1
18,'permanent wave',3
19,'uk post-punk',2
20,'boston rock',1
21,'baroque pop',10
22,'brill building pop',1
23,'classic rock',1
24,'psychedelic rock',1
25,'sunshine pop',1
26,'anti-folk',6
27,'chamber pop',17
28,'elephant 6',5
29,'indie pop',24
30,'lo-fi',5
31,'indie folk',13
32,'stomp and holler',22
33,'modern folk rock',2
34,'philly indie',1
35,'melancholia',6
36,'omaha indie',3
37,'modern alternative rock',1
38,'folk',4
39,'seattle indie',6
40,'art pop',3
41,'canadian electropop',1
42,'dance pop',1
43,'grave wave',1
44,'indietronica',3
45,'metropopolis',1
46,'pop',1
47,'new americana',1
48,'north carolina indie',1
49,'north carolina roots',1
50,'progressive bluegrass',1
51,'eau claire indie',2
52,'irish rock',1
53,'irish singer-songwriter',1
54,'neo mellow',1
55,'singer-songwriter',2
56,'alternative dance',2
57,'brooklyn indie',1
58,'chillwave',1
59,'dream pop',2
60,'new weird america',1
61,'madchester',1
62,'lilith',1
63,'piano rock',1
64,'slowcore',1
65,'washington indie',4
66,'pop rock',1
67,'la indie',4
68,'new rave',1
69,'rock independant francais',1
70,'double drumming',1
71,'canadian indie',4
72,'toronto indie',4
